offID sirID damID
40269 30875 30480
40270 30875 30416
40271 30875 30284
40272 30875 30184
40273 30875 30194
40274 30875 30194
40275 30875 30724
40276 30875 30724
40277 30875 30594
40278 30875 30594
40279 30875 30390
40280 30875 30390
40281 30275 30236
40282 30275 30236
40283 30275 30382
40284 30275 30382
40285 30275 30132
40286 30275 30132
40287 30275 30558
40288 30275 30558
40289 30275 30462
40290 30275 30462
40291 30275 30504
40292 30275 30504
40293 30275 30032
40294 30275 30032
40295 30275 30282
40296 30275 30688
40297 30275 30198
40298 30275 30198
40299 30275 30962
40300 30275 30962
40301 30545 30456
40302 30545 30356
40303 30545 30090
40304 30545 30090
40305 30545 30326
40306 30545 30326
40307 30545 30328
40308 30545 30328
40309 30545 30946
40310 30545 30562
40311 30545 30820
40312 30545 30820
40313 30545 30740
40314 30545 30740
40315 30545 30216
40316 30545 30216
40317 30545 30874
40318 30545 30270
40319 30545 30064
40320 30545 30064
40321 30327 30026
40322 30327 30026
40323 30327 30882
40324 30327 30808
40325 30327 30500
40326 30327 30500
40327 30327 30754
40328 30327 30754
40329 30327 30904
40330 30327 30904
40331 30327 30672
40332 30327 30672
40333 30327 30646
40334 30327 30646
40335 30327 30842
40336 30327 30842
40337 30327 30146
40338 30327 30146
40339 30327 31000
40340 30327 30456
40341 30661 30010
40342 30661 30010
40343 30661 30606
40344 30661 30788
40345 30661 30758
40346 30661 30758
40347 30661 30452
40348 30661 30452
40349 30661 30838
40350 30661 30400
40351 30661 30446
40352 30661 30446
40353 30661 30196
40354 30661 30692
40355 30661 30620
40356 30661 30620
40357 30661 30996
40358 30661 30996
40359 30661 30618
40360 30661 30618
40361 30891 30808
40362 30891 30808
40363 30891 30374
40364 30891 30374
40365 30891 30260
40366 30891 30072
40367 30891 30760
40368 30891 30760
40369 30891 30086
40370 30891 30086
40371 30891 30242
40372 30891 30242
40373 30891 30522
40374 30891 30522
40375 30891 30686
40376 30891 30686
40377 30891 30660
40378 30891 30660
40379 30891 30138
40380 30891 30120
40381 30197 30052
40382 30197 30052
40383 30197 30176
40384 30197 30176
40385 30197 30940
40386 30197 30940
40387 30197 30884
40388 30197 30884
40389 30197 30322
40390 30197 30322
40391 30197 30520
40392 30197 30520
40393 30197 30098
40394 30197 30098
40395 30197 30982
40396 30197 30982
40397 30197 30266
40398 30197 30266
40399 30197 30290
40400 30197 30290
40401 30685 30050
40402 30685 30050
40403 30685 30418
40404 30685 30418
40405 30685 30312
40406 30685 30626
40407 30685 30756
40408 30685 30122
40409 30685 30484
40410 30685 30484
40411 30685 30206
40412 30685 30206
40413 30685 30666
40414 30685 30178
40415 30685 30388
40416 30685 30388
40417 30685 30710
40418 30685 30834
40419 30685 30828
40420 30685 30828
40421 30683 30062
40422 30683 30062
40423 30683 30450
40424 30683 30450
40425 30683 30812
40426 30683 30812
40427 30683 30542
40428 30683 30542
40429 30683 30036
40430 30683 30036
40431 30683 30626
40432 30683 30626
40433 30683 30508
40434 30683 30508
40435 30683 30170
40436 30683 30796
40437 30683 30082
40438 30683 30946
40439 30683 30038
40440 30683 30038
40441 30781 30104
40442 30781 30104
40443 30781 30900
40444 30781 30774
40445 30781 30750
40446 30781 30750
40447 30781 30868
40448 30781 30868
40449 30781 30952
40450 30781 30952
40451 30781 30084
40452 30781 30084
40453 30781 30300
40454 30781 30300
40455 30781 30176
40456 30781 30456
40457 30781 30338
40458 30781 30338
40459 30781 30142
40460 30781 30142
40461 30953 30250
40462 30953 30250
40463 30953 30714
40464 30953 30714
40465 30953 30200
40466 30953 30200
40467 30953 30492
40468 30953 30492
40469 30953 30776
40470 30953 30776
40471 30953 30418
40472 30953 30228
40473 30953 30406
40474 30953 30406
40475 30953 30164
40476 30953 30164
40477 30953 30282
40478 30953 30282
40479 30953 30486
40480 30953 30486
40481 30657 30830
40482 30657 30830
40483 30657 30430
40484 30657 30430
40485 30657 30836
40486 30657 30836
40487 30657 30802
40488 30657 30802
40489 30657 30044
40490 30657 30044
40491 30657 30658
40492 30657 30658
40493 30657 30872
40494 30657 30872
40495 30657 30408
40496 30657 30408
40497 30657 30634
40498 30657 30634
40499 30657 30108
40500 30657 30108
40501 30039 30514
40502 30039 30794
40503 30039 30798
40504 30039 30798
40505 30039 30688
40506 30039 30974
40507 30039 30158
40508 30039 30158
40509 30039 30368
40510 30039 30368
40511 30039 30422
40512 30039 30422
40513 30039 30700
40514 30039 30700
40515 30039 30280
40516 30039 30280
40517 30039 30670
40518 30039 30670
40519 30039 30318
40520 30039 30318
40521 30677 30654
40522 30677 30654
40523 30677 30388
40524 30677 30912
40525 30677 30380
40526 30677 30380
40527 30677 30632
40528 30677 30632
40529 30677 30030
40530 30677 30030
40531 30677 30488
40532 30677 30488
40533 30677 30180
40534 30677 30180
40535 30677 30766
40536 30677 30076
40537 30677 30768
40538 30677 30768
40539 30677 30728
40540 30677 30728
40541 30127 30186
40542 30127 30186
40543 30127 30848
40544 30127 30848
40545 30127 30248
40546 30127 30634
40547 30127 30546
40548 30127 30546
40549 30127 30394
40550 30127 30394
40551 30127 30910
40552 30127 30910
40553 30127 30156
40554 30127 30674
40555 30127 30144
40556 30127 30144
40557 30127 30310
40558 30127 30310
40559 30127 30458
40560 30127 30458
40561 30495 30782
40562 30495 30782
40563 30495 30858
40564 30495 30858
40565 30495 30736
40566 30495 30736
40567 30495 30526
40568 30495 30526
40569 30495 30890
40570 30495 30890
40571 30495 30856
40572 30495 30856
40573 30495 30576
40574 30495 30576
40575 30495 30344
40576 30495 30344
40577 30495 30336
40578 30495 30336
40579 30495 30992
40580 30495 30992
40581 30227 30008
40582 30227 30008
40583 30227 30876
40584 30227 30876
40585 30227 30584
